role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L1:C2,1,2026-03-02T09:17:00,BUY,buy,100,35200,35250,3525000,5288,0,5000,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L1:C3,1,2026-03-02T09:17:00,BUY,buy,100,35200,35250,3525000,5288,0,5000,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L2:C1,2,2026-03-02T14:12:00,BUY,buy,100,35150,35150,3515000,5273,0,0,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L2:C2,2,2026-03-02T14:12:00,BUY,buy,100,35150,35150,3515000,5273,0,0,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L2:C3,2,2026-03-02T14:12:00,BUY,buy,100,35150,35150,3515000,5273,0,0,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L3:C1,3,2026-03-03T13:02:00,BUY,buy,100,34650,34650,3465000,5198,0,0,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L3:C2,3,2026-03-03T13:02:00,BUY,buy,100,34650,34650,3465000,5198,0,0,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L3:C3,3,2026-03-03T13:02:00,BUY,buy,100,34650,34650,3465000,5198,0,0,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L2:C1,2,2026-03-03T13:23:00,BUY,buy,100,27300,27300,2730000,4095,0,0,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L2:C2,2,2026-03-03T13:23:00,BUY,buy,100,27300,27300,2730000,4095,0,0,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L2:C3,2,2026-03-03T13:23:00,BUY,buy,100,27300,27300,2730000,4095,0,0,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L4:C1,4,2026-03-03T13:36:00,BUY,buy,100,34050,34100,3410000,5115,0,5000,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L4:C2,4,2026-03-03T13:36:00,BUY,buy,100,34050,34100,3410000,5115,0,5000,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L4:C3,4,2026-03-03T13:36:00,BUY,buy,100,34050,34100,3410000,5115,0,5000,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L3:C1,3,2026-03-04T10:50:00,BUY,buy,100,26650,26700,2670000,4005,0,5000,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L3:C2,3,2026-03-04T10:50:00,BUY,buy,100,26650,26700,2670000,4005,0,5000,0
locked_final_test,2026-03,MBB,banks,2026-03:MBB:L3:C3,3,2026-03-04T10:50:00,BUY,buy,100,26650,26700,2670000,4005,0,5000,0
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L1:C1,1,2026-03-04T13:00:00,SELL,risk_exit,100,32350,32300,3230000,4845,3230,5000,-308363
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L1:C2,1,2026-03-04T13:00:00,SELL,risk_exit,100,32350,32300,3230000,4845,3230,5000,-308363
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L1:C3,1,2026-03-04T13:00:00,SELL,risk_exit,100,32350,32300,3230000,4845,3230,5000,-308363
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L2:C1,2,2026-03-04T13:00:00,SELL,risk_exit,100,32350,32300,3230000,4845,3230,5000,-298348
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L2:C2,2,2026-03-04T13:00:00,SELL,risk_exit,100,32350,32300,3230000,4845,3230,5000,-298348
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L2:C3,2,2026-03-04T13:00:00,SELL,risk_exit,100,32350,32300,3230000,4845,3230,5000,-298348
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L3:C1,3,2026-03-05T13:00:00,SELL,risk_exit,100,32550,32500,3250000,4875,3250,5000,-228323
locked_final_test,2026-03,TCB,banks,2026-03:TCB:L3:C2,3,2026-03-05T13:00:00,SELL,risk_exit,100,32550,32500,3250000,4875,3250,5000,-228323
